Products - Southlake,,,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales"
SXJW003: 34 Pearl Daisy Piercing Earings,,,,5,$174.75 ,,0.33%,,,,0.03%
SXJW003: 34 Pearl Daisy Piercing Earings,,,,-1,($34.95),,,,,,
,,Earrings Sub-Total,,472,"$8,527.56 ",,20.40%,,,,2.03%
Hair,,,,,,,,,,,
16310: Bumblebee Wings & Headband,,,,2,$12.00 ,,0.03%,,,,0.00%
84090: Beautiful Bijou Bracelet,,,,2,$8.00 ,,0.02%,,,,0.00%
850712001457: Mop Top Leave In Conditioner,,,,2,$70.00 ,,0.17%,,,,0.02%
"86080: ""Prancing Unicorn/Pony Necklace, Assorted""",,,,12,$70.50 ,,0.17%,,,,0.02%
"88008: ""Frosty Topping Cupcake Hair Clips, 2pcs, Assorted""",,,,3,$12.00 ,,0.03%,,,,0.00%
"88019: ""Fancy Flutter  Butterfly Hair Clips, 2pcs, Assorted""",,,,6,$30.00 ,,0.07%,,,,0.01%
880-315: PURPLE SKY EYE MASK & SCRUNCHIE SET,,,,1,$11.00 ,,0.03%,,,,0.00%
"88032: ""Sparkly My Heart Hair Clips, 4pcs, Assorted""",,,,3,$12.00 ,,0.03%,,,,0.00%
"88042: ""Bowtastic Party Hair Clips, 2pcs, Assorted""",,,,5,$20.00 ,,0.04%,,,,0.00%
"88042: ""Bowtastic Party Hair Clips, 2pcs, Assorted""",,,,-1,($4.00),,,,,,
"88056: ""Sparkle Heart Bobble Hair Clips, 4pcs""",,,,6,$24.00 ,,0.06%,,,,0.01%
88057: Flower Sparkle Hair Clips,,,,3,$10.00 ,,0.02%,,,,0.00%
"88059: ""Rockstar Butterfly Hair Clips, 2pcs, Assorted""",,,,7,$34.00 ,,0.08%,,,,0.01%
88061: Pink-Tastic Hair Clips,,,,6,$24.00 ,,0.06%,,,,0.01%
88062: Put A Bow On It Hair Clips,,,,4,$15.20 ,,0.04%,,,,0.00%
88063: Bunny Bling Hair Clips,,,,2,$8.00 ,,0.02%,,,,0.00%
88066: Gem Bow Hair Clip,,,,2,$8.00 ,,0.02%,,,,0.00%
88067: Gem Star Hair Clip,,,,4,$16.00 ,,0.04%,,,,0.00%
"88072: ""Ice Crystal Hair Clips, 3pcs""",,,,1,$4.00 ,,0.01%,,,,0.00%
"88073: ""Lollypop Rainbow Hairclips, 2pcs""",,,,4,$16.00 ,,0.04%,,,,0.00%
"88074: ""Shimmer Flower Hair Clips, 2pcs""",,,,4,$16.00 ,,0.04%,,,,0.00%
"88076: ""Happy Love Hair Clips, 2pcs""",,,,5,$25.00 ,,0.06%,,,,0.01%
88077: The Great Gold Bow Hair Clip,,,,2,$10.00 ,,0.02%,,,,0.00%
"88760: ""Hearts & Stars Ponytail Holders, 2pcs, Assorted""",,,,6,$24.00 ,,0.06%,,,,0.01%
"88762: ""Pom Pom Puffs Ponytail Holders, 2pcs, Assorted""",,,,5,$20.00 ,,0.05%,,,,0.00%
"88765: ""Click Clack Snaps & Ties, 26pcs""",,,,3,$15.00 ,,0.04%,,,,0.00%
